Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,Done or not(6)
EASY,Best Time to Buy and Sell Stock,100.0,0.5525959754111676,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",not done
EASY,Minimum Cost to Move Chips to The Same Position,89.7,0.7235395523557598,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy",not done
MEDIUM,Find The Original Array of Prefix Xor,89.7,0.8810500495257456,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation",not done
MEDIUM,Best Team With No Conflicts,89.7,0.5042606461247886,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting",not done
EASY,Find Subarrays With Equal Sum,87.5,0.6625844195401696,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table",not done
MEDIUM,Minimum Number of Lines to Cover Points,87.5,0.42784942488672006,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask",not done
EASY,The Employee That Worked on the Longest Task,87.5,0.5059108514906449,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array,done
HARD,Find the Longest Valid Obstacle Course at Each Position,87.5,0.6252322177156585,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree",not done
HARD,Count Subarrays With Fixed Bounds,75.5,0.6940834976032579,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue",not done
EASY,Two Sum,71.2,0.5577699298053613,https://leetcode.com/problems/two-sum,"Array, Hash Table",not done
MEDIUM,Merge Intervals,71.2,0.493952626052891,https://leetcode.com/problems/merge-intervals,"Array, Sorting",not done
MEDIUM,Longest Substring Without Repeating Characters,65.9,0.36936157039565953,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",not done
HARD,First Missing Positive,65.9,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",not done
MEDIUM,Kth Largest Element in an Array,59.2,0.6797704154096826,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",not done
MEDIUM,3Sum,59.2,0.3707096729545715,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",not done
MEDIUM,Group Anagrams,59.2,0.7092883685173318,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",not done
MEDIUM,Make K-Subarray Sums Equal,59.2,0.3661727523960722,https://leetcode.com/problems/make-k-subarray-sums-equal,"Array, Math, Greedy, Sorting, Number Theory",not done
MEDIUM,Contiguous Array,59.2,0.49371586629309794,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum",not done
HARD,Minimum Number of Refueling Stops,59.2,0.405574587771098,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)",not done
MEDIUM,LRU Cache,59.2,0.45214715527990323,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",not done
